# TLA English overlay identities derived from the ROM location-name resolver, not source filenames.
# Scene records: 080f17a8 holds 8-byte {u16 overlay, u8 area, u8 variant, u16 map_index, u16 mode}; every overlay a field scene loads is listed except the title, staff credits, epilogue and face-test scenes, whose maps are shared.
# Name rules: resolver 080ca280 scans 080ef4a4 in order. Bit 15 of the selector matches the scene instead of the area; its low 15 bits select an entry or 0x7fff as a wildcard.
# The matched result plus 0xe58 is the English location name; the Japanese catalog starts its names at 0xe5a and each scene's debug label at 0xebc plus the scene index. Message IDs refer to TEXT/MESSAGE_ARCHIVE.JSON.
# resource_652 shows North Osenia Islet only for scene 11 entry 7; every other Daila entry resolves to Daila.
# English display names identify places; atlas destinations are romaji of the Japanese place names plus one area word, as in The Broken Seal: デリィ村 (0xe62) is DERI_MURA.
# The debug labels choose among a place's area words (ROOM rooms as HEYA, the sanctum as SHINDEN) but never name a folder. Modules serving several places live in SRC/FIELD/COMMON.
resource_id	locations	role	scene_ids	name_message_ids	evidence	atlas_destination
resource_64a	(Clear data)	save_menu	1	0x0e59	080f17a8;080ef4a4;080ca280	SRC/MENU/CLEAR
resource_64b	World Map	world_map	2	0x0e5a	080f17a8;080ef4a4;080ca280	SRC/FIELD/WORLD_MAP
resource_64d	Venus Lighthouse	area	4	0x0e5c	080f17a8;080ef4a4;080ca280	SRC/FIELD/VINASU_IRIGUCHI
resource_64e	Venus Lighthouse	area	5	0x0e5c	080f17a8;080ef4a4;080ca280	SRC/FIELD/VINASU_CHOJO
resource_64f	Suhalla Gate	area	6,7,8	0x0e5d	080f17a8;080ef4a4;080ca280	SRC/FIELD/SUHARA_GATE
resource_650	Idejima	area	9	0x0e5e	080f17a8;080ef4a4;080ca280	SRC/FIELD/IDEJIMA
resource_651	Daila	area	10,13	0x0e60	080f17a8;080ef4a4;080ca280	SRC/FIELD/DERI_MURA
resource_652	North Osenia Islet; Daila	area	11,12	0x0e5f,0x0e60	080f17a8;080ef4a4;080ca280	SRC/FIELD/DERI_HEYA
resource_653	Kandorean Temple	area	14,15,16,17,18,19,20,21,22	0x0e61	080f17a8;080ef4a4;080ca280	SRC/FIELD/KANDORA_JI
resource_654	Shrine of the Sea God	area	23,24,25,26,27,28,29,30,31,32,33	0x0e62	080f17a8;080ef4a4;080ca280	SRC/FIELD/KAIJIN_YASHIRO
resource_655	Dehkan Plateau	area	34,35,36,37,38,39	0x0e63	080f17a8;080ef4a4;080ca280	SRC/FIELD/DEKAN_KOGEN
resource_656	Lemurian Ship	area	40,41	0x0e79	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_FUNE
resource_657	Lemurian Ship; East Indra Shore	area	42,43	0x0e79,0x0e7a	080f17a8;080ef4a4;080ca280	SRC/FIELD/COMMON/REMURIA_INDORA
resource_658	Madra	area	44	0x0e64	080f17a8;080ef4a4;080ca280	SRC/FIELD/MADORA_MACHI
resource_659	Madra	area	45,46	0x0e64	080f17a8;080ef4a4;080ca280	SRC/FIELD/MADORA_HEYA
resource_65a	Madra Catacombs	area	47,48,49,50,51,52	0x0e65	080f17a8;080ef4a4;080ca280	SRC/FIELD/MADORA_ISEKI
resource_65b	Madra Drawbridge	area	53	0x0e66	080f17a8;080ef4a4;080ca280	SRC/FIELD/MADORA_TSURIBASHI
resource_65c	Osenia Cliffs	area	54	0x0e67	080f17a8;080ef4a4;080ca280	SRC/FIELD/OSENIA_GAKE
resource_65d	Mikasalla	area	55,56	0x0e6b	080f17a8;080ef4a4;080ca280	SRC/FIELD/MIKASARA_MURA
resource_65e	E Tundaria Islet; Mikasalla; Yallam; Apojii Islands	area	57,58	0x0e68,0x0e6b,0x0e69,0x0e6a	080f17a8;080ef4a4;080ca280	SRC/FIELD/MIKASARA_HEYA
resource_65f	Garoh	area	59,60,61,62,63	0x0e6c	080f17a8;080ef4a4;080ca280	SRC/FIELD/POPICHI_MURA
resource_660	Garoh	area	64,65,66	0x0e6c	080f17a8;080ef4a4;080ca280	SRC/FIELD/POPICHI_HEYA
resource_661	Yampi Desert	area	67,68,69,70,71,72,73,74,75,76,77,78	0x0e6d	080f17a8;080ef4a4;080ca280	SRC/FIELD/YANPI_SABAKU
resource_662	Yampi Desert Cave	area	79,80,81	0x0e6e	080f17a8;080ef4a4;080ca280	SRC/FIELD/YANPI_DOU
